,Country Name,Year,Value
0,Albania,1985,7.0262398720000006
1,Argentina,1985,35.64609909
2,Australia,1985,27.78528023
3,Austria,1985,25.56060982
4,"Bahamas, The",1985,15.00415993
5,Bahrain,1985,12.16149998
6,Bangladesh,1985,4.9826898569999996
7,Barbados,1985,19.36499977
8,Belarus,1985,43.7447319
9,Belgium,1985,30.95516014
10,Benin,1985,1.9843000169999998
11,Botswana,1985,1.832229972
12,Bulgaria,1985,17.06952095
13,Burkina Faso,1985,0.593140006
14,Burundi,1985,0.593039989
15,Cambodia,1985,0.251659989
16,Cameroon,1985,2.080169916
17,Central African Republic,1985,1.1159800290000002
18,Chad,1985,0.391099989
19,Chile,1985,15.9152298
20,China,1985,2.4754700659999997
21,Colombia,1985,11.07277012
22,"Congo, Dem. Rep.",1985,1.4422899480000002
23,"Congo, Rep.",1985,5.8091301920000005
24,Costa Rica,1985,21.90788078
25,Cote d'Ivoire,1985,2.434200048
26,Cuba,1985,18.05867958
27,Cyprus,1985,3.9642300610000003
28,Czech Republic,1985,16.32967949
29,Denmark,1985,28.83612061
30,Dominica,1985,0.712930024
31,Ecuador,1985,31.73006058
32,"Egypt, Arab Rep.",1985,18.66448021
33,El Salvador,1985,15.71860027
34,Fiji,1985,3.131180048
35,Finland,1985,31.96208
36,France,1985,29.02795982
37,Greece,1985,22.76400948
38,Guatemala,1985,6.7785801889999995
39,Guinea,1985,2.449500084
40,Guyana,1985,2.70133996
41,Honduras,1985,8.715310097
42,Hungary,1985,16.04810905
43,Iceland,1985,20.89934921
44,India,1985,5.8495101929999995
45,Indonesia,1985,6.1451301570000005
46,Iraq,1985,10.36392975
47,Ireland,1985,21.37178993
48,Italy,1985,25.79003906
49,Japan,1985,29.02973938
50,Jordan,1985,20.37988091
51,Kenya,1985,1.277920008
52,"Korea, Rep.",1985,31.58513069
53,Kuwait,1985,15.03003025
54,Lao PDR,1985,1.4599299430000001
55,Latvia,1985,23.54714966
56,Lebanon,1985,26.34833908
57,Lesotho,1985,1.279989958
58,Libya,1985,9.513170242000001
59,Luxembourg,1985,2.874880075
60,"Macedonia, FYR",1985,22.84127045
61,Madagascar,1985,4.094530106000001
62,Malawi,1985,0.46560999799999997
63,Malaysia,1985,5.596720219
64,Mali,1985,1.101250052
65,Malta,1985,5.172480106
66,Mauritania,1985,1.682209969
67,Mauritius,1985,1.065299988
68,Mongolia,1985,23.75942039
69,Mozambique,1985,0.121799998
70,Myanmar,1985,4.794370174
71,Nepal,1985,3.424000025
72,Netherlands,1985,30.61758041
73,New Zealand,1985,32.12837982
74,Nicaragua,1985,8.31637001
75,Niger,1985,0.553749979
76,Nigeria,1985,3.389139891
77,Norway,1985,29.8101902
78,Oman,1985,0.316020012
79,Panama,1985,24.29512978
80,Papua New Guinea,1985,1.512269974
81,Paraguay,1985,9.115880013
82,Peru,1985,22.03988075
83,Philippines,1985,27.75008011
84,Poland,1985,16.26024055
85,Portugal,1985,13.8476696
86,Qatar,1985,16.78953934
87,Romania,1985,11.73655033
88,Russian Federation,1985,
89,Rwanda,1985,
90,Saudi Arabia,1985,
91,Senegal,1985,
92,Sierra Leone,1985,
93,Slovenia,1985,
94,Spain,1985,
95,Sri Lanka,1985,
96,St. Kitts and Nevis,1985,
97,St. Lucia,1985,
98,Suriname,1985,
99,Swaziland,1985,
100,Sweden,1985,
101,Switzerland,1985,
102,Syrian Arab Republic,1985,
103,Tanzania,1985,
104,Thailand,1985,
105,Tonga,1985,
106,Trinidad and Tobago,1985,
107,Tunisia,1985,
108,Turkey,1985,
109,Uganda,1985,
110,Ukraine,1985,
111,United Arab Emirates,1985,
112,United Kingdom,1985,
113,United States,1985,
114,"Venezuela, RB",1985,
115,Zimbabwe,1985,
116,Albania,1986,7.221590042000001
117,Argentina,1986,37.51216888
118,Australia,1986,29.35474014
119,Austria,1986,26.74003983
120,"Bahamas, The",1986,17.45377922
121,Bahrain,1986,12.71714973
122,Bangladesh,1986,4.843900204
123,Barbados,1986,
124,Belarus,1986,44.74734879
125,Belgium,1986,31.76913071
126,Benin,1986,2.377569914
127,Botswana,1986,2.186749935
128,Bulgaria,1986,18.73819923
129,Burkina Faso,1986,0.611819983
130,Burundi,1986,0.6470599770000001
131,Cambodia,1986,0.273279995
132,Cameroon,1986,
133,Central African Republic,1986,1.138910055
134,Chad,1986,
135,Chile,1986,17.02347946
136,China,1986,3.0168399810000004
137,Colombia,1986,11.64251041
138,"Congo, Dem. Rep.",1986,1.4813599590000002
139,"Congo, Rep.",1986,5.7319102289999995
140,Costa Rica,1986,22.87523079
141,Cote d'Ivoire,1986,
142,Cuba,1986,19.9155407
143,Cyprus,1986,4.834849834
144,Czech Republic,1986,16.15712929
145,Denmark,1986,29.111919399999994
146,Dominica,1986,
147,Ecuador,1986,
148,"Egypt, Arab Rep.",1986,18.61828995
149,El Salvador,1986,16.214700699999998
150,Fiji,1986,3.060499907
151,Finland,1986,34.10874176
152,France,1986,29.57323074
153,Greece,1986,24.19643021
154,Guatemala,1986,7.086140156
155,Guinea,1986,1.980970025
156,Guyana,1986,2.76631999
157,Honduras,1986,
158,Hungary,1986,16.10758018
159,Iceland,1986,21.32345963
160,India,1986,6.005340099
161,Indonesia,1986,6.396160126
162,Iraq,1986,11.40898037
163,Ireland,1986,22.63466072
164,Italy,1986,25.60576057
165,Japan,1986,28.01094055
166,Jordan,1986,19.38841057
167,Kenya,1986,
168,"Korea, Rep.",1986,34.10005188
169,Kuwait,1986,15.87230968
170,Lao PDR,1986,1.46923995
171,Latvia,1986,23.16786957
172,Lebanon,1986,29.97726059
173,Lesotho,1986,1.316310048
174,Libya,1986,
175,Luxembourg,1986,2.6026101109999997
176,"Macedonia, FYR",1986,21.86186028
177,Madagascar,1986,4.032000065
178,Malawi,1986,0.457269996
179,Malaysia,1986,6.532690047999999
180,Mali,1986,0.984799981
181,Malta,1986,5.684539795
182,Mauritania,1986,2.620079994
183,Mauritius,1986,0.993600011
184,Mongolia,1986,23.48467064
185,Mozambique,1986,
186,Myanmar,1986,4.440480232
187,Nepal,1986,4.808889866
188,Netherlands,1986,31.59052086
189,New Zealand,1986,34.85385895
190,Nicaragua,1986,7.5269498829999995
191,Niger,1986,
192,Nigeria,1986,3.547130108
193,Norway,1986,29.629049300000002
194,Oman,1986,0.826240003
195,Panama,1986,26.69705009
196,Papua New Guinea,1986,1.859009981
197,Paraguay,1986,8.770350456000001
198,Peru,1986,25.30493927
199,Philippines,1986,24.64109993
200,Poland,1986,16.88377953
201,Portugal,1986,12.85820007
202,Qatar,1986,18.53624916
203,Romania,1986,10.89381981
204,Russian Federation,1986,
205,Rwanda,1986,
206,Saudi Arabia,1986,
207,Senegal,1986,
208,Sierra Leone,1986,
209,Slovenia,1986,
210,Spain,1986,
211,Sri Lanka,1986,
