Country Name,Year,Value
Albania,1985,7.026239872
Argentina,1985,35.64609909
Australia,1985,27.78528023
Austria,1985,25.56060982
"Bahamas, The",1985,15.00415993
Bahrain,1985,12.16149998
Bangladesh,1985,4.982689857
Barbados,1985,19.36499977
Belarus,1985,43.7447319
Belgium,1985,30.95516014
Benin,1985,1.984300017
Botswana,1985,1.832229972
Bulgaria,1985,17.06952095
Burkina Faso,1985,0.593140006
Burundi,1985,0.593039989
Cambodia,1985,0.251659989
Cameroon,1985,2.080169916
Central African Republic,1985,1.115980029
Chad,1985,0.391099989
Chile,1985,15.9152298
China,1985,2.475470066
Colombia,1985,11.07277012
"Congo, Dem. Rep.",1985,1.442289948
"Congo, Rep.",1985,5.809130192
Costa Rica,1985,21.90788078
Cote d'Ivoire,1985,2.434200048
Cuba,1985,18.05867958
Cyprus,1985,3.964230061
Czech Republic,1985,16.32967949
Denmark,1985,28.83612061
Dominica,1985,0.712930024
Ecuador,1985,31.73006058
"Egypt, Arab Rep.",1985,18.66448021
El Salvador,1985,15.71860027
Fiji,1985,3.131180048
Finland,1985,31.96208
France,1985,29.02795982
Greece,1985,22.76400948
Guatemala,1985,6.778580189
Guinea,1985,2.449500084
Guyana,1985,2.70133996
Honduras,1985,8.715310097
Hungary,1985,16.04810905
Iceland,1985,20.89934921
India,1985,5.849510193
Indonesia,1985,6.145130157
Iraq,1985,10.36392975
Ireland,1985,21.37178993
Italy,1985,25.79003906
Japan,1985,29.02973938
Jordan,1985,20.37988091
Kenya,1985,1.277920008
"Korea, Rep.",1985,31.58513069
Kuwait,1985,15.03003025
Lao PDR,1985,1.459929943
Latvia,1985,23.54714966
Lebanon,1985,26.34833908
Lesotho,1985,1.279989958
Libya,1985,9.513170242
Luxembourg,1985,2.874880075
"Macedonia, FYR",1985,22.84127045
Madagascar,1985,4.094530106
Malawi,1985,0.465609998
Malaysia,1985,5.596720219
Mali,1985,1.101250052
Malta,1985,5.172480106
Mauritania,1985,1.682209969
Mauritius,1985,1.065299988
Mongolia,1985,23.75942039
Mozambique,1985,0.121799998
Myanmar,1985,4.794370174
Nepal,1985,3.424000025
Netherlands,1985,30.61758041
New Zealand,1985,32.12837982
Nicaragua,1985,8.31637001
Niger,1985,0.553749979
Nigeria,1985,3.389139891
Norway,1985,29.8101902
Oman,1985,0.316020012
Panama,1985,24.29512978
Papua New Guinea,1985,1.512269974
Paraguay,1985,9.115880013
Peru,1985,22.03988075
Philippines,1985,27.75008011
Poland,1985,16.26024055
Portugal,1985,13.8476696
Qatar,1985,16.78953934
Romania,1985,11.73655033
Russian Federation,1985,
Rwanda,1985,
Saudi Arabia,1985,
Senegal,1985,
Sierra Leone,1985,
Slovenia,1985,
Spain,1985,
Sri Lanka,1985,
St. Kitts and Nevis,1985,
St. Lucia,1985,
Suriname,1985,
Swaziland,1985,
Sweden,1985,
Switzerland,1985,
Syrian Arab Republic,1985,
Tanzania,1985,
Thailand,1985,
Tonga,1985,
Trinidad and Tobago,1985,
Tunisia,1985,
Turkey,1985,
Uganda,1985,
Ukraine,1985,
United Arab Emirates,1985,
United Kingdom,1985,
United States,1985,
"Venezuela, RB",1985,
Zimbabwe,1985,
Albania,1986,7.221590042
Argentina,1986,37.51216888
Australia,1986,29.35474014
Austria,1986,26.74003983
"Bahamas, The",1986,17.45377922
Bahrain,1986,12.71714973
Bangladesh,1986,4.843900204
Barbados,1986,
Belarus,1986,44.74734879
Belgium,1986,31.76913071
Benin,1986,2.377569914
Botswana,1986,2.186749935
Bulgaria,1986,18.73819923
Burkina Faso,1986,0.611819983
Burundi,1986,0.647059977
Cambodia,1986,0.273279995
Cameroon,1986,
Central African Republic,1986,1.138910055
Chad,1986,
Chile,1986,17.02347946
China,1986,3.016839981
Colombia,1986,11.64251041
"Congo, Dem. Rep.",1986,1.481359959
"Congo, Rep.",1986,5.731910229
Costa Rica,1986,22.87523079
Cote d'Ivoire,1986,
Cuba,1986,19.9155407
Cyprus,1986,4.834849834
Czech Republic,1986,16.15712929
Denmark,1986,29.1119194
Dominica,1986,
Ecuador,1986,
"Egypt, Arab Rep.",1986,18.61828995
El Salvador,1986,16.2147007
Fiji,1986,3.060499907
Finland,1986,34.10874176
France,1986,29.57323074
Greece,1986,24.19643021
Guatemala,1986,7.086140156
Guinea,1986,1.980970025
Guyana,1986,2.76631999
Honduras,1986,
Hungary,1986,16.10758018
Iceland,1986,21.32345963
India,1986,6.005340099
Indonesia,1986,6.396160126
Iraq,1986,11.40898037
Ireland,1986,22.63466072
Italy,1986,25.60576057
Japan,1986,28.01094055
Jordan,1986,19.38841057
Kenya,1986,
"Korea, Rep.",1986,34.10005188
Kuwait,1986,15.87230968
Lao PDR,1986,1.46923995
Latvia,1986,23.16786957
Lebanon,1986,29.97726059
Lesotho,1986,1.316310048
Libya,1986,
Luxembourg,1986,2.602610111
"Macedonia, FYR",1986,21.86186028
Madagascar,1986,4.032000065
Malawi,1986,0.457269996
Malaysia,1986,6.532690048
Mali,1986,0.984799981
Malta,1986,5.684539795
Mauritania,1986,2.620079994
Mauritius,1986,0.993600011
Mongolia,1986,23.48467064
Mozambique,1986,
Myanmar,1986,4.440480232
Nepal,1986,4.808889866
Netherlands,1986,31.59052086
New Zealand,1986,34.85385895
Nicaragua,1986,7.526949883
Niger,1986,
Nigeria,1986,3.547130108
Norway,1986,29.6290493
Oman,1986,0.826240003
Panama,1986,26.69705009
Papua New Guinea,1986,1.859009981
Paraguay,1986,8.770350456
Peru,1986,25.30493927
Philippines,1986,24.64109993
Poland,1986,16.88377953
Portugal,1986,12.85820007
Qatar,1986,18.53624916
Romania,1986,10.89381981
Russian Federation,1986,
Rwanda,1986,
Saudi Arabia,1986,
Senegal,1986,
Sierra Leone,1986,
Slovenia,1986,
Spain,1986,
Sri Lanka,1986,
St. Kitts and Nevis,1986,
St. Lucia,1986,
Suriname,1986,
Swaziland,1986,
Sweden,1986,
Switzerland,1986,
Syrian Arab Republic,1986,
Tanzania,1986,
Thailand,1986,
Tonga,1986,
Trinidad and Tobago,1986,
Tunisia,1986,
Turkey,1986,
Uganda,1986,
Ukraine,1986,
United Arab Emirates,1986,
United Kingdom,1986,
United States,1986,
"Venezuela, RB",1986,
Zimbabwe,1986,
Albania,1987,7.327420235
Argentina,1987,39.27062988
Australia,1987,29.4972496
Austria,1987,27.85111046
"Bahamas, The",1987,19.36623955
Bahrain,1987,9.544130325
Bangladesh,1987,4.190859795
Barbados,1987,
Belarus,1987,45.76441956
Belgium,1987,33.19422913
Benin,1987,2.25545001
Botswana,1987,2.437259912
Bulgaria,1987,20.78952026
Burkina Faso,1987,0.63894999
Burundi,1987,0.628679991
Cambodia,1987,
Cameroon,1987,2.344899893
Central African Republic,1987,1.033740044
Chad,1987,
Chile,1987,17.64481926
China,1987,3.157269955
Colombia,1987,12.04423046
"Congo, Dem. Rep.",1987,1.614189982
"Congo, Rep.",1987,5.707709789
Costa Rica,1987,24.73472023
Cote d'Ivoire,1987,2.682529926
Cuba,1987,21.9482193
Cyprus,1987,5.429480076
Czech Republic,1987,16.46445084
Denmark,1987,29.63172913
Dominica,1987,
Ecuador,1987,
"Egypt, Arab Rep.",1987,18.79256058
El Salvador,1987,
Fiji,1987,
Finland,1987,36.08156967
France,1987,29.97680092
Greece,1987,25.95046997
Guatemala,1987,
Guinea,1987,1.49406004
Guyana,1987,
Honduras,1987,8.33728981
Hungary,1987,15.67918968
Iceland,1987,21.58485985
India,1987,6.346849918
Indonesia,1987,7.589809895
Iraq,1987,10.87320995
Ireland,1987,24.24700928
Italy,1987,24.83555031
Japan,1987,28.48558998
Jordan,1987,20.89950943
Kenya,1987,1.461459994
"Korea, Rep.",1987,35.24647903
Kuwait,1987,15.89227962
Lao PDR,1987,
Latvia,1987,23.09608078
Lebanon,1987,32.1186409
Lesotho,1987,1.531579971
Libya,1987,
Luxembourg,1987,2.438940048
