suicides_no,country,sex,year,age
21,Albania,male,1987,15-24 years
16,Albania,male,1987,35-54 years
14,Albania,female,1987,15-24 years
1,Albania,male,1987,75+ years
9,Albania,male,1987,25-34 years
1,Albania,female,1987,75+ years
6,Albania,female,1987,35-54 years
4,Albania,female,1987,25-34 years
1,Albania,male,1987,55-74 years
0,Albania,female,1987,5-14 years
0,Albania,female,1987,55-74 years
0,Albania,male,1987,5-14 years
2,Albania,female,1988,75+ years
17,Albania,male,1988,15-24 years
1,Albania,male,1988,75+ years
14,Albania,male,1988,35-54 years
4,Albania,male,1988,55-74 years
8,Albania,female,1988,15-24 years
3,Albania,female,1988,55-74 years
5,Albania,female,1988,25-34 years
5,Albania,male,1988,25-34 years
4,Albania,female,1988,35-54 years
0,Albania,female,1988,5-14 years
0,Albania,male,1988,5-14 years
2,Albania,male,1989,75+ years
18,Albania,male,1989,25-34 years
15,Albania,male,1989,35-54 years
6,Albania,male,1989,55-74 years
12,Albania,male,1989,15-24 years
7,Albania,female,1989,35-54 years
5,Albania,female,1989,15-24 years
2,Albania,female,1989,25-34 years
1,Albania,female,1989,55-74 years
0,Albania,female,1989,5-14 years
0,Albania,female,1989,75+ years
0,Albania,male,1989,5-14 years
12,Albania,male,1992,35-54 years
9,Albania,male,1992,15-24 years
5,Albania,male,1992,55-74 years
7,Albania,male,1992,25-34 years
7,Albania,female,1992,15-24 years
4,Albania,female,1992,25-34 years
2,Albania,female,1992,35-54 years
1,Albania,female,1992,55-74 years
0,Albania,female,1992,5-14 years
0,Albania,female,1992,75+ years
0,Albania,male,1992,5-14 years
0,Albania,male,1992,75+ years
18,Albania,male,1993,15-24 years
7,Albania,male,1993,55-74 years
1,Albania,male,1993,75+ years
9,Albania,male,1993,25-34 years
10,Albania,female,1993,15-24 years
10,Albania,male,1993,35-54 years
7,Albania,female,1993,25-34 years
7,Albania,female,1993,35-54 years
2,Albania,female,1993,55-74 years
1,Albania,female,1993,5-14 years
1,Albania,male,1993,5-14 years
0,Albania,female,1993,75+ years
2,Albania,male,1994,75+ years
11,Albania,male,1994,55-74 years
2,Albania,female,1994,75+ years
6,Albania,male,1994,25-34 years
9,Albania,male,1994,35-54 years
6,Albania,male,1994,15-24 years
6,Albania,female,1994,15-24 years
4,Albania,female,1994,25-34 years
2,Albania,female,1994,35-54 years
1,Albania,female,1994,55-74 years
1,Albania,male,1994,5-14 years
0,Albania,female,1994,5-14 years
13,Albania,male,1995,25-34 years
9,Albania,male,1995,55-74 years
2,Albania,female,1995,75+ years
13,Albania,female,1995,15-24 years
11,Albania,male,1995,15-24 years
1,Albania,male,1995,75+ years
14,Albania,male,1995,35-54 years
7,Albania,female,1995,25-34 years
8,Albania,female,1995,35-54 years
6,Albania,male,1995,5-14 years
2,Albania,female,1995,55-74 years
2,Albania,female,1995,5-14 years
2,Albania,male,1996,75+ years
17,Albania,male,1996,15-24 years
14,Albania,male,1996,25-34 years
16,Albania,female,1996,15-24 years
2,Albania,female,1996,75+ years
10,Albania,female,1996,25-34 years
12,Albania,male,1996,35-54 years
9,Albania,female,1996,35-54 years
3,Albania,male,1996,55-74 years
1,Albania,female,1996,55-74 years
2,Albania,male,1996,5-14 years
1,Albania,female,1996,5-14 years
36,Albania,male,1997,25-34 years
33,Albania,male,1997,15-24 years
3,Albania,male,1997,75+ years
30,Albania,male,1997,35-54 years
21,Albania,female,1997,15-24 years
12,Albania,male,1997,55-74 years
16,Albania,female,1997,25-34 years
2,Albania,female,1997,75+ years
7,Albania,female,1997,35-54 years
6,Albania,female,1997,5-14 years
4,Albania,male,1997,5-14 years
